WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (96.7493993 4.695135)",1.0,0.0,Provinsi Aceh,11.0,1.0,4.695135,96.7493993,1.0
"POINT (99.5450974 2.1153547)",2.0,0.0,Provinsi Sumatera Utara,12.0,1.0,2.1153547,99.5450974,1.0
"POINT (100.8000051 -0.7399397)",3.0,0.0,Provinsi Sumatera Barat,13.0,1.0,-0.7399397,100.8000051,1.0
"POINT (101.7068294 0.2933469)",4.0,0.0,Provinsi Riau,14.0,1.0,0.2933469,101.7068294,1.0
"POINT (102.4380581 -1.4851831)",5.0,0.0,Provinsi Jambi,15.0,1.0,-1.4851831,102.4380581,1.0
"POINT (103.914399 -3.3194374)",6.0,0.0,Provinsi Sumatera Selatan,16.0,1.0,-3.3194374,103.914399,1.0
"POINT (102.3463875 -3.5778471)",7.0,0.0,Provinsi Bengkulu,17.0,1.0,-3.5778471,102.3463875,1.0
"POINT (105.4068079 -4.5585849)",8.0,0.0,Provinsi Lampung,18.0,1.0,-4.5585849,105.4068079,1.0
"POINT (106.4405872 -2.7410513)",9.0,0.0,Provinsi Kepulauan Bangka Belitung,19.0,1.0,-2.7410513,106.4405872,1.0
"POINT (108.1428669 3.9456514)",10.0,0.0,Provinsi Kepulauan Riau,21.0,1.0,3.9456514,108.1428669,1.0
